astraweave-physics/src/destruction.rs:574:30: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:574:45: replace * with / in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:574:45: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:575:15: replace * with / in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:575:15: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:93:46: replace * with / in FracturePattern::uniform
astraweave-physics/src/destruction.rs:93:46: replace * with + in FracturePattern::uniform
astraweave-physics/src/destruction.rs:93:52: replace / with * in FracturePattern::uniform
astraweave-physics/src/destruction.rs:93:52: replace / with % in FracturePattern::uniform
astraweave-physics/src/ecs.rs:16:9: replace <impl Plugin for PhysicsPlugin>::build with ()
astraweave-physics/src/ecs.rs:17:63: delete - in <impl Plugin for PhysicsPlugin>::build
astraweave-physics/src/ecs.rs:27:5: replace physics_step_system with ()
astraweave-physics/src/ecs.rs:35:5: replace sync_physics_to_transform_system with ()
astraweave-physics/src/environment.rs:140:70: replace / with % in WindZone::contains
astraweave-physics/src/environment.rs:157:59: replace * with / in WindZone::wind_force_at
astraweave-physics/src/environment.rs:164:54: replace - with + in WindZone::wind_force_at
astraweave-physics/src/environment.rs:168:25: replace < with <= in WindZone::wind_force_at
astraweave-physics/src/environment.rs:168:25: replace < with == in WindZone::wind_force_at
astraweave-physics/src/environment.rs:168:25: replace < with > in WindZone::wind_force_at
astraweave-physics/src/environment.rs:172:45: delete - in WindZone::wind_force_at
astraweave-physics/src/environment.rs:173:46: replace * with / in WindZone::wind_force_at
astraweave-physics/src/environment.rs:173:46: replace * with + in WindZone::wind_force_at
astraweave-physics/src/environment.rs:176:57: replace * with / in WindZone::wind_force_at
astraweave-physics/src/environment.rs:176:57: replace * with + in WindZone::wind_force_at
astraweave-physics/src/environment.rs:179:32: replace + with - in WindZone::wind_force_at
astraweave-physics/src/environment.rs:179:32: replace + with * in WindZone::wind_force_at
astraweave-physics/src/environment.rs:179:41: replace + with - in WindZone::wind_force_at
astraweave-physics/src/environment.rs:179:41: replace + with * in WindZone::wind_force_at
astraweave-physics/src/environment.rs:183:70: replace * with / in WindZone::wind_force_at
astraweave-physics/src/environment.rs:183:70: replace * with + in WindZone::wind_force_at
astraweave-physics/src/environment.rs:184:22: replace + with - in WindZone::wind_force_at
astraweave-physics/src/environment.rs:184:22: replace + with * in WindZone::wind_force_at
astraweave-physics/src/environment.rs:184:41: replace * with / in WindZone::wind_force_at
astraweave-physics/src/environment.rs:184:41: replace * with + in WindZone::wind_force_at
astraweave-physics/src/environment.rs:194:18: replace < with <= in WindZone::wind_force_at
astraweave-physics/src/environment.rs:194:18: replace < with == in WindZone::wind_force_at
astraweave-physics/src/environment.rs:198:35: replace * with / in WindZone::wind_force_at
astraweave-physics/src/environment.rs:198:35: replace * with + in WindZone::wind_force_at
astraweave-physics/src/environment.rs:198:43: replace * with + in WindZone::wind_force_at
